rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0073.jpg,29.2,0.8127,0.7454,0.8,1.0,4,4,False,True
2,frame_0072.jpg,28.8,0.769,0.6579,0.8,1.0,5,4,False,False
3,frame_0015.jpg,6.0,0.7524,0.6247,0.8,1.0,4,4,False,True
4,frame_0077.jpg,30.8,0.7442,0.6564,0.8,0.88,5,4,False,False
5,frame_0290.jpg,116.0,0.7362,0.7925,0.6,0.8,3,3,False,True
6,frame_0079.jpg,31.6,0.7225,0.7649,0.6,0.8,4,3,False,True
7,frame_0128.jpg,51.2,0.6982,0.7004,0.6,0.84,3,3,False,True
8,frame_0078.jpg,31.2,0.6763,0.5366,0.8,0.84,5,4,False,False
9,frame_0024.jpg,9.6,0.6553,0.7906,0.2,1.0,1,1,False,True
10,frame_0030.jpg,12.0,0.6466,0.5333,0.6,1.0,4,3,False,True
11,frame_0170.jpg,68.0,0.6455,0.4991,1.0,0.48,6,5,False,True
12,frame_0232.jpg,92.8,0.6435,0.607,1.0,0.2,7,5,False,True
13,frame_0010.jpg,4.0,0.6361,0.7522,0.2,1.0,1,1,False,True
14,frame_0014.jpg,5.6,0.635,0.6299,0.4,1.0,3,2,False,False
15,frame_0008.jpg,3.2,0.6341,0.5083,0.6,1.0,3,3,False,False
16,frame_0233.jpg,93.2,0.6303,0.6847,0.8,0.24,5,4,False,False
17,frame_0289.jpg,115.6,0.6274,0.8307,0.2,0.76,3,1,False,False
18,frame_0285.jpg,114.0,0.6273,0.5346,0.8,0.6,4,4,False,True
19,frame_0028.jpg,11.2,0.6239,0.6077,0.4,1.0,2,2,False,False
20,frame_0306.jpg,122.4,0.6214,0.6668,0.8,0.24,7,4,False,True
21,frame_0296.jpg,118.4,0.621,0.6261,0.6,0.64,5,3,False,False
22,frame_0013.jpg,5.2,0.6184,0.8368,0.0,1.0,1,0,False,False
23,frame_0287.jpg,114.8,0.6173,0.7225,0.4,0.68,4,2,False,False
24,frame_0304.jpg,121.6,0.6171,0.6261,0.8,0.32,5,4,False,False
25,frame_0389.jpg,155.6,0.6021,0.5563,1.0,0.12,7,5,False,False
26,frame_0292.jpg,116.8,0.6017,0.5234,0.6,0.8,4,3,False,False
27,frame_0397.jpg,158.8,0.6008,0.6416,0.8,0.2,7,4,False,False
28,frame_0070.jpg,28.0,0.5996,0.4392,0.6,1.0,5,3,False,False
29,frame_0068.jpg,27.2,0.5994,0.5588,0.4,1.0,2,2,False,False
30,frame_0021.jpg,8.4,0.5975,0.4349,0.6,1.0,4,3,False,False
31,frame_0188.jpg,75.2,0.5968,0.6975,0.8,0.04,7,4,False,False
32,frame_0330.jpg,132.0,0.5949,0.5738,1.0,0.04,8,5,False,False
33,frame_0029.jpg,11.6,0.5934,0.6667,0.2,1.0,4,1,False,False
34,frame_0291.jpg,116.4,0.5916,0.4871,0.6,0.84,5,3,False,False
35,frame_0398.jpg,159.2,0.5905,0.605,0.8,0.24,5,4,False,False
36,frame_0385.jpg,154.0,0.5891,0.6182,0.8,0.2,5,4,False,False
37,frame_0384.jpg,153.6,0.5852,0.6263,0.8,0.16,9,4,False,False
38,frame_0020.jpg,8.0,0.5832,0.5264,0.4,1.0,4,2,False,False
39,frame_0169.jpg,67.6,0.583,0.5981,0.6,0.52,3,3,False,False
40,frame_0299.jpg,119.6,0.5818,0.5956,0.6,0.52,4,3,False,False
41,frame_0074.jpg,29.6,0.5813,0.4025,0.6,1.0,6,3,False,False
42,frame_0087.jpg,34.8,0.5813,0.6105,0.6,0.48,3,3,False,False
43,frame_0281.jpg,112.4,0.5809,0.7458,0.4,0.44,4,2,False,False
44,frame_0386.jpg,154.4,0.5806,0.7051,0.6,0.24,8,3,False,False
45,frame_0197.jpg,78.8,0.58,0.0,0.0,0.4,0,0,True,False
46,frame_0225.jpg,90.0,0.5746,0.7571,0.6,0.08,4,3,False,False
47,frame_0069.jpg,27.6,0.5719,0.5039,0.4,1.0,4,2,False,False
48,frame_0123.jpg,49.2,0.571,0.6459,0.4,0.64,4,2,False,False
49,frame_0206.jpg,82.4,0.5687,0.8334,0.0,0.76,1,0,False,False
50,frame_0175.jpg,70.0,0.5685,0.6649,0.6,0.28,4,3,False,False
51,frame_0279.jpg,111.6,0.5684,0.6328,0.6,0.36,4,3,False,False
52,frame_0218.jpg,87.2,0.5661,0.7482,0.4,0.36,2,2,False,False
53,frame_0112.jpg,44.8,0.563,0.8059,0.4,0.2,3,2,False,False
54,frame_0332.jpg,132.8,0.5598,0.7436,0.6,0.04,5,3,False,False
55,frame_0011.jpg,4.4,0.5573,0.4745,0.4,1.0,3,2,False,False
56,frame_0288.jpg,115.2,0.5559,0.5838,0.4,0.72,5,2,False,False
57,frame_0007.jpg,2.8,0.5551,0.4701,0.4,1.0,3,2,False,False
58,frame_0297.jpg,118.8,0.5539,0.5078,0.6,0.6,5,3,False,False
59,frame_0271.jpg,108.4,0.5523,0.9686,0.2,0.04,1,1,False,False
60,frame_0067.jpg,26.8,0.551,0.3419,0.6,1.0,5,3,False,False
61,frame_0275.jpg,110.0,0.549,0.6579,0.6,0.2,5,3,False,False
62,frame_0184.jpg,73.6,0.5489,0.5857,0.8,0.08,4,4,False,False
63,frame_0132.jpg,52.8,0.5487,0.3374,0.6,1.0,5,3,False,False
64,frame_0318.jpg,127.2,0.545,0.514,0.8,0.24,5,4,False,False
65,frame_0006.jpg,2.4,0.5439,0.4478,0.4,1.0,2,2,False,False
66,frame_0293.jpg,117.2,0.5433,0.4226,0.6,0.76,3,3,False,False
67,frame_0378.jpg,151.2,0.541,0.57,0.8,0.08,7,4,False,False
68,frame_0374.jpg,149.6,0.536,0.512,0.8,0.2,6,4,False,False
69,frame_0131.jpg,52.4,0.5357,0.5674,0.2,0.96,3,1,False,False
70,frame_0174.jpg,69.6,0.5348,0.7015,0.4,0.32,3,2,False,False
71,frame_0282.jpg,112.8,0.5345,0.5171,0.6,0.48,5,3,False,False
